track_id,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artists,album_name,track_name,explicit,genre
5SuOikwiRyPMVoIQDJUgSV,0.73,0.042473199,0.686294416,0.461,0.090909091,0.791391525,0,0.148186528,0.032329317,1.01E-06,0.358,0.718592965,0.361245336,0.8,Gen Hoshino,Comedy,Comedy,FALSE,acoustic
4qPNDBW1i3p13qLCt0Ki3A,0.55,0.026971094,0.426395939,0.166,0.090909091,0.597377134,1,0.079067358,0.927710843,5.56E-06,0.101,0.268341709,0.318397351,0.8,Ben Woodward,Ghost (Acoustic),Ghost - Acoustic,FALSE,acoustic
1iJBSr7s7jYXzM8EGcbK5b,0.57,0.038678764,0.444670051,0.359,0,0.736122672,1,0.057720207,0.210843373,0,0.117,0.120603015,0.313643311,0.8,Ingrid Michaelson;ZAYN,To Begin Again,To Begin Again,FALSE,acoustic
6lfxq3CG4xtTiEg7opyCyx,0.71,0.036977961,0.270050761,0.0596,0,0.573701052,1,0.03761658,0.908634538,7.07E-05,0.132,0.143718593,0.746758049,0.6,Kina Grannis,Crazy Rich Asians (Original Motion Picture Soundtrack),Can't Help Falling In Love,FALSE,acoustic
5vjLSffimiIP26QG5WcN2K,0.82,0.036388906,0.627411168,0.443,0.181818182,0.737103009,1,0.054507772,0.470883534,0,0.0829,0.167839196,0.492862778,0.8,Chord Overstreet,Hold On,Hold On,FALSE,acoustic
01MVOl9KtVTNfFiBU9I7dc,0.58,0.039331697,0.698477157,0.481,0.545454545,0.753269334,1,0.10880829,0.290160643,0,0.189,0.669346734,0.402745591,0.8,Tyrone Wells,Days I Will Remember,Days I Will Remember,FALSE,acoustic
6Vc5wAMmXdKIAM7WUoEb7N,0.74,0.042231075,0.41319797,0.147,0.181818182,0.75299188,1,0.036787565,0.860441767,2.89E-06,0.0913,0.076884422,0.58052693,0.6,A Great Big World;Christina Aguilera,Is There Anybody Out There?,Say Something,FALSE,acoustic
1EzrEOXmMH3G43AXT1y7pA,0.8,0.044821771,0.713705584,0.444,1,0.743576938,1,0.043212435,0.56124498,0,0.0973,0.715577889,0.620284996,0.8,Jason Mraz,We Sing. We Dance. We Steal Things.,I'm Yours,FALSE,acoustic
0IktbUcnAGrvD03AWnz3Q8,0.74,0.034621739,0.634517766,0.414,0,0.755248506,1,0.038238342,0.295180723,0,0.151,0.672361809,0.534523281,0.8,Jason Mraz;Colbie Caillat,We Sing. We Dance. We Steal Things.,Lucky,FALSE,acoustic
7k9GuJYLp2AzqokyEdwEw2,0.56,0.037678134,0.448730964,0.632,0.090909091,0.790947598,1,0.030569948,0.427710843,0.00419,0.0735,0.196984925,0.32419095,0.8,Ross Copperman,Hunger,Hunger,FALSE,acoustic
4mzP5mHkRvGxdhdGdAH7EJ,0.74,0.045176352,0.636548223,0.363,0.727272727,0.765847252,1,0.03015544,0.280120482,0,0.0928,0.302512563,0.410503262,0.8,Zack Tabudlo,Episode,Give Me Your Forever,FALSE,acoustic
5ivF4eQBqJiVL5IAE9jRyl,0.69,0.0442899,0.49035533,0.303,0.363636364,0.730129664,1,0.044455959,0.696787149,0,0.115,0.139698492,0.548156731,0.6,Jason Mraz,Love Is a Four Letter Word,I Won't Give Up,FALSE,acoustic
4ptDJbJl35d7gQfeNteBwp,0.52,0.036361939,0.496446701,0.314,0.636363636,0.745167675,0,0.034300518,0.752008032,0,0.113,0.610050251,0.510469569,0.8,Dan Berk,Solo,Solo,FALSE,acoustic
0X9MxHR1rTkEHDjp95F2OO,0.62,0.045874039,0.701522843,0.234,0.272727273,0.797033091,1,0.029533679,0.780120482,0,0.12,0.210050251,0.357900662,0.8,Anna Hamilton,Bad Liar,Bad Liar,FALSE,acoustic
4LbWtBkN82ZRhz9jqzgrb3,0.56,0.034338687,0.766497462,0.78,0.181818182,0.803636498,1,0.03388601,0.124497992,2.83E-05,0.121,0.388944724,0.493088769,0.8,Chord Overstreet;Deepend,Hold On (Remix),Hold On - Remix,FALSE,acoustic
1KHdq8NK9QxnGjdXb55NiG,0.58,0.045211925,0.496446701,0.561,0.363636364,0.769435658,1,0.028393782,0.200803213,4.56E-05,0.179,0.23919598,0.342919481,0.6,Landon Pigg,The Boy Who Never,Falling in Love at a Coffee Shop,FALSE,acoustic
6xKeQgzfjixSUld14qUezm,0.56,0.023172833,0.716751269,0.112,0.181818182,0.581414276,1,0.040518135,0.830321285,4.03E-06,0.125,0.416080402,0.452615749,0.8,Andrew Foy;Renee Foy,ily (i love you baby),ily (i love you baby),FALSE,acoustic
4Yo0igmcoNyat1secaH0OD,0.54,0.030818697,0.807106599,0.0841,0.909090909,0.581562251,0,0.047772021,0.74497992,1.17E-05,0.0853,0.612060302,0.377212662,0.8,Andrew Foy;Renee Foy,At My Worst,At My Worst,FALSE,acoustic
2qLMf6TuEC3ruGJg4SMMN6,0.68,0.034621739,0.634517766,0.414,0,0.755248506,1,0.038238342,0.295180723,0,0.151,0.672361809,0.534523281,0.8,Jason Mraz;Colbie Caillat,We Sing. We Dance. We Steal Things.,Lucky,FALSE,acoustic
6CgNoAbFJ4Q4Id4EjtbXlC,0.67,0.048118952,0.727918782,0.32,0.272727273,0.760927067,1,0.029326425,0.833333333,0,0.107,0.32361809,0.443543218,0.8,Boyce Avenue;Bea Miller,"Cover Sessions, Vol. 4",Photograph,FALSE,acoustic
3S0OXQeoh0w6AY8WQVckRW,0.75,0.044821771,0.713705584,0.444,1,0.743576938,1,0.043212435,0.56124498,0,0.0973,0.715577889,0.620284996,0.8,Jason Mraz,We Sing. We Dance. We Steal Things.,I'm Yours,FALSE,acoustic
210JCw2LbYD4YIs8GiZ9iP,0.63,0.031669003,0.688324873,0.351,0,0.756099366,1,0.027564767,0.75,0,0.355,0.571859296,0.369935736,0.8,Boyce Avenue;Jennel Garcia,"Cover Sessions, Vol. 3",Demons,FALSE,acoustic
5TvE3pk05pyFIGdSY9j4DJ,0.7,0.042231075,0.41319797,0.147,0.181818182,0.75299188,1,0.036787565,0.860441767,2.89E-06,0.0913,0.076884422,0.58052693,0.6,A Great Big World;Christina Aguilera,Is There Anybody Out There? - Track by Track Commentary,Say Something,FALSE,acoustic
0BUuuEvNa5T4lMaewyiudB,0,0.039742124,0.58071066,0.454,0.272727273,0.725912362,1,0.026735751,0.478915663,1.37E-05,0.0974,0.51758794,0.575998882,0.8,Jason Mraz,Coffee Moment,93 Million Miles,FALSE,acoustic
3Hn3LfhrQOaKihdCibJsTs,0,0.04258795,0.808121827,0.667,0.454545455,0.826813162,0,0.040621762,0.38253012,0,0.221,0.757788945,0.402626432,0.8,Jason Mraz,Human - Best Adult Pop Tunes,Unlonely,FALSE,acoustic
6D33wCKzWtNEgOovgeVJ7r,0.01,0.056182128,0.766497462,0.454,0.818181818,0.738434789,0,0.036476684,0.760040161,0,0.236,0.331658291,0.49331887,0.8,Jason Mraz,Mellow Adult Pop,Bella Luna,FALSE,acoustic
5IfCZDRXZrqZSm8AwE44PG,0,0.023557249,0.629441624,0.309,0.454545455,0.745833565,1,0.051295337,0.791164659,0,0.146,0.667336683,0.59728728,0.8,Jason Mraz,Holly Jolly Christmas,Winter Wonderland,FALSE,acoustic
0dzKBptH2P5j5a0MifBMwM,0,0.05069454,0.642639594,0.429,0.363636364,0.790688641,0,0.039481865,0.044578313,0,0.132,0.522613065,0.590836251,0.8,Jason Mraz,Feeling Good - Adult Pop Favorites,If It Kills Me,FALSE,acoustic
5QAMZTM5cmLg3fHX9ZbTZi,0,0.023557249,0.629441624,0.309,0.454545455,0.745833565,1,0.051295337,0.791164659,0,0.146,0.667336683,0.59728728,0.8,Jason Mraz,Christmas Time,Winter Wonderland,FALSE,acoustic
2qESE1ZeWly7I3YjyTXmXh,0,0.023557249,0.629441624,0.309,0.454545455,0.745833565,1,0.051295337,0.791164659,0,0.146,0.667336683,0.59728728,0.8,Jason Mraz,Perfect Christmas Hits,Winter Wonderland,FALSE,acoustic
3EQV1ZHtHvq9OnVRYIdbg3,0,0.023557249,0.629441624,0.309,0.454545455,0.745833565,1,0.051295337,0.791164659,0,0.146,0.667336683,0.59728728,0.8,Jason Mraz,Merry Christmas,Winter Wonderland,FALSE,acoustic
3ax0rfGb7exLtl02LL08U9,0,0.023557249,0.629441624,0.309,0.454545455,0.745833565,1,0.051295337,0.791164659,0,0.146,0.667336683,0.59728728,0.8,Jason Mraz,Christmas Music - Holiday Hits,Winter Wonderland,FALSE,acoustic
1m5LC29RE52Bxy7hxvpOlL,0,0.043146406,0.602030457,0.455,0.545454545,0.764644951,1,0.040207254,0.36746988,0,0.0914,0.566834171,0.830083165,0.8,Chord Overstreet,Christmas Country Songs 2022,All I Want For Christmas Is A Real Good Tan,FALSE,acoustic
3H36x7buZdQD4687VmFrwY,0,0.047998846,0.300507614,0.206,0,0.697926493,1,0.042694301,0.785140562,2.25E-04,0.0959,0.203015075,0.679618033,0.8,Brandi Carlile;Sam Smith,Human - Best Adult Pop Tunes,Party of One,FALSE,acoustic
0xbMRcMFqxJq1Wa7tvWPtn,0,0.047998846,0.300507614,0.206,0,0.697926493,1,0.042694301,0.785140562,2.25E-04,0.0959,0.203015075,0.679618033,0.8,Brandi Carlile;Sam Smith,Feeling Good - Adult Pop Favorites,Party of One,FALSE,acoustic
6h061f44HZPj1OXO2nA45d,0,0.047998846,0.300507614,0.206,0,0.697926493,1,0.042694301,0.785140562,2.25E-04,0.0959,0.203015075,0.679618033,0.8,Brandi Carlile;Sam Smith,Mellow Bars R'n'B,Party of One,FALSE,acoustic
62EwQLDw0dprDzuLwQ0sH1,0,0.047603911,0.415228426,0.153,0.545454545,0.717514751,0,0.031709845,0.942771084,2.56E-05,0.108,0.180904523,0.350336111,0.8,KT Tunstall,Chill Christmas Dinner,Lonely This Christmas,FALSE,acoustic
3lvo0I8c2qBJDLZWqExDgC,0,0.045748386,0.508629442,0.0952,0.181818182,0.676987958,1,0.055958549,0.96686747,1.58E-05,0.0915,0.31758794,0.567098927,0.8,Brandi Carlile,rainy day indie,Throwing Good After Bad,FALSE,acoustic
1ae8XfBQ3fDEvmBjFaemGV,0,0.037806847,0.615228426,0.326,0.909090909,0.730629081,1,0.030466321,0.84437751,0,0.139,0.416080402,0.37648538,0.8,Brandi Carlile,Coffee Moment,This Time Tomorrow,FALSE,acoustic
0adVktNVJXPZfhQe6B1NO5,0,0.047603911,0.415228426,0.153,0.545454545,0.717514751,0,0.031709845,0.942771084,2.56E-05,0.108,0.180904523,0.350336111,0.8,KT Tunstall,sadsadchristmas,Lonely This Christmas,FALSE,acoustic
6sp6Vx3sv2l5qxPfbQkcyt,0,0.057032816,0.481218274,0.519,0.636363636,0.818304571,1,0.026217617,0.282128514,0,0.107,0.327638191,0.623867988,0.8,Eddie Vedder,Mega Hits Autumn/Fall 2022,The Haves,FALSE,acoustic
1WFVfVjCtbmdIv7j3Fa9iy,0,0.049414492,0.576649746,0.301,0.909090909,0.728187485,0,0.03865285,0.799196787,3.37E-06,0.118,0.142713568,0.361705537,0.8,Brandi Carlile,Mellow Adult Pop,When You're Wrong,FALSE,acoustic
0e5PAxSyZ5DWWVqKANHETz,0,0.042364568,0.576649746,0.686,0.090909091,0.793444685,1,0.034196891,0.15060241,1.81E-06,0.0881,0.728643216,0.707045182,0.8,Brandi Carlile;Lucius,Country Car Hits,You and Me on the Rock,FALSE,acoustic
1MLr9b1fOybO3MGiLy47Ys,0,0.042364568,0.576649746,0.686,0.090909091,0.793444685,1,0.034196891,0.15060241,1.81E-06,0.0881,0.728643216,0.707045182,0.8,Brandi Carlile;Lucius,Country Road Songs,You and Me on the Rock,FALSE,acoustic
6JGjevTaqr9J1xp7YvYUKF,0,0.03544986,0.483248731,0.666,0.545454545,0.852579398,1,0.046217617,0.315261044,0,0.342,0.500502513,0.60875943,0.8,Brandi Carlile,Finest Country,Speak Your Mind (From the Netflix Series 'We The People'),FALSE,acoustic
7Af2YlwMZryKOQiRfwMsD2,0,0.042364568,0.576649746,0.686,0.090909091,0.793444685,1,0.034196891,0.15060241,1.81E-06,0.0881,0.728643216,0.707045182,0.8,Brandi Carlile;Lucius,Easy Country,You and Me on the Rock,FALSE,acoustic
3RE5nHIVkC4KcA7snFaTKd,0,0.042364568,0.576649746,0.686,0.090909091,0.793444685,1,0.034196891,0.15060241,1.81E-06,0.0881,0.728643216,0.707045182,0.8,Brandi Carlile;Lucius,Cozy Country,You and Me on the Rock,FALSE,acoustic
0JvkNRyq8Tmot9khpdtN0I,0,0.042364568,0.576649746,0.686,0.090909091,0.793444685,1,0.034196891,0.15060241,1.81E-06,0.0881,0.728643216,0.707045182,0.8,Brandi Carlile;Lucius,Good Times Country,You and Me on the Rock,FALSE,acoustic
27gHtbsHClwimHFtKgFop4,0,0.042364568,0.576649746,0.686,0.090909091,0.793444685,1,0.034196891,0.15060241,1.81E-06,0.0881,0.728643216,0.707045182,0.8,Brandi Carlile;Lucius,Laidback Country,You and Me on the Rock,FALSE,acoustic
1QBNBGeIRRGBnLhdlHbfI8,0,0.042364568,0.576649746,0.686,0.090909091,0.793444685,1,0.034196891,0.15060241,1.81E-06,0.0881,0.728643216,0.707045182,0.8,Brandi Carlile;Lucius,Chillin' It - Mellow Day Country,You and Me on the Rock,FALSE,acoustic
72xTsTouZ5nBmASX8k1XCW,0.46,0.039113288,0.605076142,0.2,0,0.723359784,0,0.031606218,0.913654618,1.83E-04,0.0884,0.309547739,0.443325444,0.8,Highland Peak,Trampoline (Acoustic),Trampoline - Acoustic,FALSE,acoustic
